field	message	count	table
datasetName	Required field datasetName is missing	1	event
decimalLatitude	Empty value for required field decimalLatitude	24	event
decimalLongitude	Empty value for required field decimalLongitude	24	event
eventDate	Empty value for required field eventDate	24	event
institutionCode	Required field institutionCode is missing	1	event
maximumDepthInMeters	Empty value for recommended field maximumDepthInMeters	24	event
minimumDepthInMeters	Empty value for recommended field minimumDepthInMeters	24	event
occurrenceStatus	Required field occurrenceStatus is missing	1	occurrence
occurrence_error	Potential duplicate record	32	occurrence
scientificNameID	Required field scientificNameID is missing	1	occurrence
