row	eventDate_error	decimalLongitude_error	decimalLatitude_error	minimumDepthInMeters_error	maximumDepthInMeters_error	eventID	eventRemarks	eventDate	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	dynamicProperties	sampleSizeValue	sampleSizeUnit	materialSampleID	country	waterBody	parentEventID
2	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153162	GS257, 0.8um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	244716	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190980			
3	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153163	GS260, 0.8um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	335038	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190984			
4	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153164	GS264, 0.8um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	155590	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190988			
5	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153165	GS259, 3.0um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	209347	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190987			
6	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153166	GS264, 0.1um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	218918	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190928			
7	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153167	GS257, 0.1um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	203078	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190924			
8	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153168	GS258, 0.1um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium","sample identifier":"GS258"}	231287	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190925			
9	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153169	GS264, 3.0um  - fragment lib 454 sequencing						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	179419	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS190989			
11	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153171	GS117						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium"}	553545	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS259969			
12	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00153172	GS122						{"NCBI sample classification":"408172","instrument model":"454 GS FLX Titanium","sample identifier":"GS122"}	358633	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/SRS260192			
