row	coordinates_error	minimumDepthInMeters_error	maximumDepthInMeters_error	eventID	samplingProtocol	eventRemarks	locality	eventDate	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	dynamicProperties	sampleSizeValue	sampleSizeUnit	materialSampleID	parentEventID
4	Coordinates are located on land			MGYA00593784	NPL022	OSD2014 @ PT MAINLAND	North Atlantic Ocean	2014-06-20	0	0	38.6769	-9.0124	{"temperature":"20.5","project name":"Micro B3","geographic location (longitude)":"-9.012392","collection date":"2014-06-20","environment (biome)":"ENVO:01000020","environment (feature)":"ENVO:00002042","environment (material)":"ENVO.00002150","environmental package":"water","salinity":"30.0","geographic location (latitude)":"38.67694","NCBI sample classification":"408172","instrument model":"Illumina MiSeq","ENA checklist":"ERC000027","sampling site":"OSD109,Rosario","event date/time":"2014-06-20T11:00:00+00","event_device":"ACID WASHED RECIPIENT","latitude end":"38.676942","latitude start":"38.676942","longitude end":"-9.012392","longitude start":"-9.012392","sample_title":"OSD109_2014-06-20_0m_NPL022","sampling campaign":"OSD-Jun-2014","sampling platform":"Ground","sampling_objective":"OSD2014 @ PT MAINLAND"}	24327	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS667556	
6	Coordinates are located on land			MGYA00593786	NPL022	OSD2014 @ PT MAINLAND	North Atlantic Ocean	2014-06-21	0	0	40.6599	-8.7038	{"temperature":"25.2","project name":"Micro B3","geographic location (longitude)":"-8.703761","collection date":"2014-06-21","environment (biome)":"ENVO:01000020","environment (feature)":"ENVO:00002042","environment (material)":"ENVO.00002150","environmental package":"water","salinity":"30.0","geographic location (latitude)":"40.659874","NCBI sample classification":"408172","instrument model":"Illumina MiSeq","ENA checklist":"ERC000027","sampling site":"OSD111,Ria de Aveiro_1","event date/time":"2014-06-21T08:30:00+00","event_device":"ACID WASHED RECIPIENT","latitude end":"-8.703761","latitude start":"40.659875","longitude end":"40.659875","longitude start":"-8.703761","sample_title":"OSD111_2014-06-21_0m_NPL022","sampling campaign":"OSD-Jun-2014","sampling platform":"Ground","sampling_objective":"OSD2014 @ PT MAINLAND"}	34733	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS667554	
18	Coordinates are located on land			MGYA00593798	NPL022	.	Adriatic Sea	2014-06-21	0	0	45.502	12.4176	{"temperature":"25.3","project name":"Micro B3","geographic location (longitude)":"12.4176","collection date":"2014-06-21","environment (biome)":"ENVO:00000038, &quot;LAGOON&quot;","environment (feature)":"ENVO:00002042, &quot;SURFACE WATER&quot;","environment (material)":"ENVO:00002019, &quot;BRACKISH WATER&quot;","environmental package":"water","salinity":"27.42","geographic location (latitude)":"45.502","NCBI sample classification":"408172","instrument model":"Illumina MiSeq","ENA checklist":"ERC000027","sampling site":"OSD47,Venice Lagoon","event date/time":"2014-06-21T13:56:00+00","event_device":"10 L bottle","latitude end":"45.502","latitude start":"45.502","longitude end":"12.4176","longitude start":"12.4176","sample_title":"OSD47_2014-06-21_0m_NPL022","sampling campaign":"OSD-Jun-2014","sampling platform":"UNIPD Boat","sampling_objective":"OSD 2014"}	23934	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS667621	
40	Coordinates are located on land			MGYA00593820	NPL022	OSD2014 @ PT MAINLAND	North Atlantic Ocean	2014-06-20	0	0	38.6769	-9.0124	{"temperature":"20.5","project name":"Micro B3","geographic location (longitude)":"-9.012392","collection date":"2014-06-20","environment (biome)":"ENVO:01000020","environment (feature)":"ENVO:00002042","environment (material)":"ENVO.00002150","environmental package":"water","salinity":"30.0","geographic location (latitude)":"38.67694","NCBI sample classification":"408172","instrument model":"Illumina MiSeq","ENA checklist":"ERC000027","sampling site":"OSD109,Rosario","event date/time":"2014-06-20T11:00:00+00","event_device":"ACID WASHED RECIPIENT","latitude end":"38.676942","latitude start":"38.676942","longitude end":"-9.012392","longitude start":"-9.012392","sample_title":"OSD109_2014-06-20_0m_NPL022","sampling campaign":"OSD-Jun-2014","sampling platform":"Ground","sampling_objective":"OSD2014 @ PT MAINLAND"}	23235	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS667556	
42	Coordinates are located on land			MGYA00593822	NPL022	OSD2014 @ PT MAINLAND	North Atlantic Ocean	2014-06-21	0	0	40.6599	-8.7038	{"temperature":"25.2","project name":"Micro B3","geographic location (longitude)":"-8.703761","collection date":"2014-06-21","environment (biome)":"ENVO:01000020","environment (feature)":"ENVO:00002042","environment (material)":"ENVO.00002150","environmental package":"water","salinity":"30.0","geographic location (latitude)":"40.659874","NCBI sample classification":"408172","instrument model":"Illumina MiSeq","ENA checklist":"ERC000027","sampling site":"OSD111,Ria de Aveiro_1","event date/time":"2014-06-21T08:30:00+00","event_device":"ACID WASHED RECIPIENT","latitude end":"-8.703761","latitude start":"40.659875","longitude end":"40.659875","longitude start":"-8.703761","sample_title":"OSD111_2014-06-21_0m_NPL022","sampling campaign":"OSD-Jun-2014","sampling platform":"Ground","sampling_objective":"OSD2014 @ PT MAINLAND"}	51120	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS667554	
51	Coordinates are located on land	Depth value (1) is greater than the value found in the bathymetry raster (depth=-848.0, margin=150)	Depth value (1) is greater than the value found in the bathymetry raster (depth=-848.0, margin=150)	MGYA00593831	NPL022	Surface water sample in Fjord Eyjafjordur, Iceland at 21.6.2014 at 12:15. 0.22 um Sterivex filtration	Greenland Sea	2014-06-21	1	1	66.0069	-18.1965	{"temperature":"12.2","project name":"Micro B3","geographic location (longitude)":"-18.19653","collection date":"2014-06-21","environment (biome)":"ENVO:00000039","environment (feature)":"ENVO:00002002","environment (material)":"ENVO:00002010","environmental package":"water","salinity":"42.3","geographic location (latitude)":"66.00691","NCBI sample classification":"408172","instrument model":"Illumina MiSeq","ENA checklist":"ERC000027","sampling site":"OSD126,Eyafjordur_1","event date/time":"2014-06-21T12:15:00+00","event_device":"Nissan Bottles 1.6 L","latitude end":"66.00659","latitude start":"66.00691","longitude end":"-18.19753","longitude start":"-18.19653","sample_title":"OSD126_2014-06-21_1m_NPL022","sampling campaign":"OSD-Jun-2014","sampling platform":"Research Vessel Einari Nesi","sampling_objective":"Surface water sample in Fjord Eyjafjordur, Iceland at 21.6.2014 at 12:15. 0.22 um Sterivex filtration"}	40143	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS667539	
52	Coordinates are located on land	Depth value (1) is greater than the value found in the bathymetry raster (depth=-345.0, margin=150)	Depth value (1) is greater than the value found in the bathymetry raster (depth=-345.0, margin=150)	MGYA00593832	NPL022	Eyjafjordur, Akureyri, Iceland	Greenland Sea	2014-06-21	1	1	65.4886	-18.0608	{"temperature":"12.0","project name":"Micro B3","geographic location (longitude)":"-18.0608","collection date":"2014-06-21","environment (biome)":"ENVO:00000039","environment (feature)":"ENVO:00002042","environment (material)":"ENVO:00002010","environmental package":"water","salinity":"14.0","geographic location (latitude)":"65.4886","NCBI sample classification":"408172","instrument model":"Illumina MiSeq","ENA checklist":"ERC000027","sampling site":"OSD128,Eyafjordur_3","event date/time":"2014-06-21T17:05:00+00","event_device":"Nissan bottles 1.6 L","latitude end":"65.4877","latitude start":"65.4886","longitude end":"-18.06032","longitude start":"-18.06080","sample_title":"OSD128_2014-06-21_1m_NPL022","sampling campaign":"OSD-Jun-2014","sampling platform":"Research vessel Einari Nesi","sampling_objective":"Eyjafjordur, Akureyri, Iceland"}	50288	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS667537	
54	Coordinates are located on land	Depth value (1) is greater than the value found in the bathymetry raster (depth=-267.0, margin=150)	Depth value (1) is greater than the value found in the bathymetry raster (depth=-267.0, margin=150)	MGYA00593834	NPL022	Black sea salinity is unique and bacterial diversity here is still in larger scale unstudied. In coastal zones this is even a more severe problem as these are with high ecological and public importance. Our interest are bacterial groups involved in biogeochemical processes in sediments and their interaction with the upstanding water column.	Black Sea	2014-06-21	1	1	42.2449	27.4008	{"temperature":"22.5","project name":"Micro B3","geographic location (longitude)":"27.400805","collection date":"2014-06-21","environment (biome)":"ENVO:00000447 marine biome","environment (feature)":"ENVO:00002042 surface water","environment (material)":"ENVO:00002010 seawater","environmental package":"water","salinity":"14.3","geographic location (latitude)":"42.244907","NCBI sample classification":"408172","instrument model":"Illumina MiSeq","ENA checklist":"ERC000027","sampling site":"OSD131,Zlatna ribka","event date/time":"2014-06-21T10:24:00+00","event_device":"Niskin bottle","latitude end":"42.252939","latitude start":"42.244907","longitude end":"27.415647","longitude start":"27.400804","sample_title":"OSD131_2014-06-21_1m_NPL022","sampling campaign":"OSD-Jun-2014","sampling platform":"Research vessel, LEM","sampling_objective":"Black sea salinity is unique and bacterial diversity here is still in larger scale unstudied. In coastal zones this is even a more severe problem as these are with high ecological and public importance. Our interest are bacterial groups involved in biogeochemical processes in sediments and their interaction with the upstanding water column."}	25963	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS667534	
55	Coordinates are located on land	Depth value (1) is greater than the value found in the bathymetry raster (depth=-267.0, margin=150)	Depth value (1) is greater than the value found in the bathymetry raster (depth=-267.0, margin=150)	MGYA00593835	NPL022	Black sea salinity is unique and bacterial diversity here is still in larger scale unstudied. In coastal zones this is even a more severe problem as these are with high ecological and public importance. Our interest are bacterial groups involved in biogeochemical processes in sediments and their interaction with the upstanding water column.	Black Sea	2014-06-21	1	1	42.2449	27.4008	{"temperature":"22.5","project name":"Micro B3","geographic location (longitude)":"27.400805","collection date":"2014-06-21","environment (biome)":"ENVO:00000447 marine biome","environment (feature)":"ENVO:00002042 surface water","environment (material)":"ENVO:00002010 seawater","environmental package":"water","salinity":"14.3","geographic location (latitude)":"42.244907","NCBI sample classification":"408172","instrument model":"Illumina MiSeq","ENA checklist":"ERC000027","sampling site":"OSD131,Zlatna ribka","event date/time":"2014-06-21T10:24:00+00","event_device":"Niskin bottle","latitude end":"42.252939","latitude start":"42.244907","longitude end":"27.415647","longitude start":"27.400804","sample_title":"OSD131_2014-06-21_1m_NPL022","sampling campaign":"OSD-Jun-2014","sampling platform":"Research vessel, LEM","sampling_objective":"Black sea salinity is unique and bacterial diversity here is still in larger scale unstudied. In coastal zones this is even a more severe problem as these are with high ecological and public importance. Our interest are bacterial groups involved in biogeochemical processes in sediments and their interaction with the upstanding water column."}	17875	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS667534	
56	Coordinates are located on land			MGYA00593836	NPL022	OSD sampling day	Mediterranean Sea - Eastern Basin	2014-06-22	0.5	0.5	32.0694	34.843	{"temperature":"27.3","project name":"Micro B3","geographic location (longitude)":"34.843","collection date":"2014-06-22","environment (biome)":"Mediterranean Sea:","environment (feature)":"ultra oligotropic","environment (material)":"vv","environmental package":"water","salinity":"39.35","geographic location (latitude)":"32.0694","NCBI sample classification":"408172","instrument model":"Illumina MiSeq","ENA checklist":"ERC000027","sampling site":"OSD132,Sdot YAM","event date/time":"2014-06-22T10:45:00+00","event_device":"pump","latitude end":"32.0694","latitude start":"32.0694","longitude end":"34.8430","longitude start":"34.8430","sample_title":"OSD132_2014-06-22_0.5m_NPL022","sampling campaign":"OSD-Jun-2014","sampling platform":"deck beach","sampling_objective":"OSD sampling day"}	28420	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS667533	
