row	eventDate_error	decimalLongitude_error	decimalLatitude_error	minimumDepthInMeters_error	maximumDepthInMeters_error	eventID	eventRemarks	eventDate	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	dynamicProperties	sampleSizeValue	sampleSizeUnit	materialSampleID	parentEventID
12	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00585253	EMOSE_EVEN-MOCK-18S						{"instrument model":"Illumina HiSeq 2500","ENA checklist":"ERC000011"}	7465	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS1871535	
23	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00585264	EMOSE_EVEN-MOCK-18S						{"instrument model":"Illumina HiSeq 2500","ENA checklist":"ERC000011"}	131804	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS1871535	
40	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00585296	EMOSE_STAG-MOCK-16S						{"instrument model":"Illumina HiSeq 2500","ENA checklist":"ERC000011"}	817882	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS1871534	
57	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00585313	EMOSE_STAG-MOCK-18S						{"instrument model":"Illumina HiSeq 2500","ENA checklist":"ERC000011"}	63925	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS1871536	
68	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00585324	EMOSE_EVEN-MOCK-16S						{"instrument model":"Illumina HiSeq 2500","ENA checklist":"ERC000011"}	1396610	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS1871533	
75	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00585331	EMOSE_STAG-MOCK-18S						{"instrument model":"Illumina HiSeq 2500","ENA checklist":"ERC000011"}	4971	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS1871536	
103	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00585359	EMOSE_EVEN-MOCK-16S						{"instrument model":"Illumina HiSeq 2500","ENA checklist":"ERC000011"}	680323	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS1871533	
139	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00585395	EMOSE_STAG-MOCK-16S						{"instrument model":"Illumina HiSeq 2500","ENA checklist":"ERC000011"}	776001	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS1871534	
146	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00585402	EMOSE_EVEN-MOCK-18S						{"instrument model":"Illumina HiSeq 2500","ENA checklist":"ERC000011"}	117919	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS1871535	
172	Empty value for required field eventDate	Empty value for required field decimalLongitude	Empty value for required field decimalLatitude	Empty value for recommended field minimumDepthInMeters	Empty value for recommended field maximumDepthInMeters	MGYA00585428	EMOSE_STAG-MOCK-16S						{"instrument model":"Illumina HiSeq 2500","ENA checklist":"ERC000011"}	1368021	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS1871534	
