row	eventDate_error	minimumDepthInMeters_error	maximumDepthInMeters_error	coordinates_error	eventID	eventRemarks	eventDate	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	dynamicProperties	sampleSizeValue	sampleSizeUnit	materialSampleID	parentEventID
2	Empty value for required field eventDate				MGYA00166829	This sample (TARA_A100001333) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T15:23:37Z at station TARA_030 (latitudeN=33.9235, longitudeE=32.8118) from a deep chlorophyll maximum layer (ENVO:xxxxxxxx) at a depth of 66-75 m, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles.  The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was size-fractionated (0.8-5 micrometres) and preserved on board  in liquid nitrogen for later phylogenetic analysis of protist (unicellular eukaryote) nucleotide sequences identification by pyrosequencing methods.		70.0	70.0	33.9235	32.8118	{"temperature":"18.979534","project name":"Tara Oceans","geographic location (longitude)":"32.8118","environment (biome)":"marine biome (ENVO:00000447)","environment (feature)":"deep chlorophyll maximum layer (ENVO:xxxxxxxx)","environment (material)":"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)","environmental package":"water","sample collection device or method":"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles","salinity":"39.25595","geographic location (latitude)":"33.9235","instrument model":"Illumina Genome Analyzer IIx","ENA checklist":"ERC000030"}	1758244	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS478046	
5	Empty value for required field eventDate				MGYA00166832	This sample (TARA_A100000553) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-11-18T08:41Z at station TARA_023 (latitudeN=42.2038, longitudeE=17.715) from a surface water (ENVO:00002042) layer at a depth of 3-7 m, using a PUMP (High Volume Peristaltic Pump).  The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was size-fractionated (5-20 micrometres) and preserved on board  in liquid nitrogen for later phylogenetic analysis of protist (unicellular eukaryote) nucleotide sequences identification by pyrosequencing methods.		5.0	5.0	42.2038	17.715	{"temperature":"17.32198","project name":"Tara Oceans","geographic location (longitude)":"17.715","environment (biome)":"marine biome (ENVO:00000447)","environment (feature)":"surface water (ENVO:00002042) layer","environment (material)":"particulate matter, including plankton (ENVO:xxxxxxxx)","environmental package":"water","sample collection device or method":"PUMP (High Volume Peristaltic Pump)","salinity":"38.201397","geographic location (latitude)":"42.2038","instrument model":"Illumina Genome Analyzer IIx","ENA checklist":"ERC000030"}	1609138	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS477989	
58	Empty value for required field eventDate				MGYA00166885	This sample (TARA_A200000148) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-09-23T16:08Z at station TARA_007 (latitudeN=37.0541, longitudeE=1.9478) from a deep chlorophyll maximum layer (ENVO:xxxxxxxx) at a depth of 40-44 m, using a PUMP (High Volume Peristaltic Pump).  The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was size-fractionated (5-20 micrometres) and preserved on board  in liquid nitrogen for later phylogenetic/transcriptomic analysis of protist (unicellular eukaryote) nucleotide sequences identification by pyrosequencing methods. This sample has replicate sample(s): TARA_A200000149.		42.0	42.0	37.0541	1.9478	{"temperature":"17.36746","project name":"Tara Oceans","geographic location (longitude)":"1.9478","environment (biome)":"marine biome (ENVO:00000447)","environment (feature)":"deep chlorophyll maximum layer (ENVO:xxxxxxxx)","environment (material)":"particulate matter, including plankton (ENVO:xxxxxxxx)","environmental package":"water","sample collection device or method":"PUMP (High Volume Peristaltic Pump)","salinity":"99999.0","geographic location (latitude)":"37.0541","instrument model":"Illumina Genome Analyzer IIx","ENA checklist":"ERC000030"}	2999255	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS477961	
102	Empty value for required field eventDate				MGYA00166931			5.0	5.0	33.9184	32.86		1762786	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS478036	
175	Empty value for required field eventDate				MGYA00167004			42.0	42.0	37.0112	1.946		1976356	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS477973	
200	Empty value for required field eventDate				MGYA00167029	This sample (TARA_A100001640) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-12-15T10:41Z at station TARA_030 (latitudeN=33.9179, longitudeE=32.898) from a surface water (ENVO:00002042) layer at a depth of 3-7 m, using a PUMP (High Volume Peristaltic Pump).  The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was size-fractionated (0.8-5 micrometres) and preserved on board  in liquid nitrogen for later phylogenetic analysis of protist (unicellular eukaryote) nucleotide sequences identification by pyrosequencing methods.		5.0	5.0	33.9179	32.898	{"temperature":"20.460611","project name":"Tara Oceans","geographic location (longitude)":"32.898","environment (biome)":"marine biome (ENVO:00000447)","environment (feature)":"surface water (ENVO:00002042) layer","environment (material)":"particulate matter, including plankton (ENVO:xxxxxxxx)","environmental package":"water","sample collection device or method":"PUMP (High Volume Peristaltic Pump)","salinity":"39.42521","geographic location (latitude)":"33.9179","instrument model":"Illumina Genome Analyzer IIx","ENA checklist":"ERC000030"}	711267	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS478024	
208		Depth value (99999.0) is greater than the value found in the bathymetry raster (depth=3194.0, margin=150)	Depth value (99999.0) is greater than the value found in the bathymetry raster (depth=3194.0, margin=150)		MGYA00167037		2010-03-18	99999.0	99999.0	18.5745	66.4895		1384511	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS488910	
221				Coordinates are located on land	MGYA00167050	This sample (TARA_A100001433) was collected during the Tara Oceans expedition (2009-2013) at station TARA_031 (latitudeN=27.16, longitudeE=27.1433) on date/time=2010-01-09T07:15, using a PUMP (High Volume Peristaltic Pump).  The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.8-20 micrometres), and stored in liquid nitrogen for later detection of unicellular eukaryote (protist) nucleic acid sequences by pyrosequencing methods, and for later metagenomics/transcriptomics analysis.	2010-01-09	5.0	5.0	27.16	27.1433	{"temperature":"25.0621","project name":"Tara Oceans expedition (2009-2013)","geographic location (longitude)":"27.1433","collection date":"2010-01-09","environment (biome)":"marine biome (ENVO:00000447)","environment (feature)":"surface water layer (ENVO:00002042)","environment (material)":"&quot;particulate matter, including plankton (ENVO:xxxxxxxx)&quot;","environmental package":"water","sample collection device or method":"PUMP (High Volume Peristaltic Pump)","salinity":"39.98187","geographic location (latitude)":"27.16","instrument model":"Illumina Genome Analyzer IIx","ENA checklist":"ERC000030"}	1496320	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS488554	
276	Empty value for required field eventDate				MGYA00167106	This sample (TARA_A200000110) was collected in the marine biome (ENVO:00000447) during Tara Oceans expedition on date/time=2009-09-23T12:50Z at station TARA_007 (latitudeN=37.051, longitudeE=1.9378) from a surface water (ENVO:00002042) layer at a depth of 3-7 m, using a PUMP (High Volume Peristaltic Pump).  The sample material (particulate matter, including plankton (ENVO:xxxxxxxx)) was size-fractionated (5-20 micrometres) and preserved on board  in liquid nitrogen for later phylogenetic analysis of protist (unicellular eukaryote) nucleotide sequences identification by pyrosequencing methods. This sample has replicate sample(s): TARA_A200000109.		5.0	5.0	37.051	1.9378	{"temperature":"23.82575","project name":"Tara Oceans","geographic location (longitude)":"1.9378","environment (biome)":"marine biome (ENVO:00000447)","environment (feature)":"surface water (ENVO:00002042) layer","environment (material)":"particulate matter, including plankton (ENVO:xxxxxxxx)","environmental package":"water","sample collection device or method":"PUMP (High Volume Peristaltic Pump)","salinity":"37.4911","geographic location (latitude)":"37.051","instrument model":"Illumina Genome Analyzer IIx","ENA checklist":"ERC000030"}	1909457	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS477937	
291	Empty value for required field eventDate				MGYA00167121			5.0	5.0	33.9178	32.8849		2171606	DNA sequence reads	https://www.ebi.ac.uk/metagenomics/samples/ERS478033	
