eventID	decimalLatitude	decimalLongitude	quality
MGYA00582572	-29.574	96.4073	OK
MGYA00582573	-29.574	96.4073	OK
MGYA00582574	-29.574	96.4073	OK
MGYA00582575	-29.574	96.4073	OK
MGYA00582576	-33.9072	37.0422	OK
MGYA00582577	-33.9072	37.0422	OK
MGYA00582578	-33.9072	37.0422	OK
MGYA00582579	-25.8682	-27.5673	OK
MGYA00582580	-25.8682	-27.5673	OK
MGYA00582581	-25.8682	-27.5673	OK
MGYA00582582	-29.574	96.4073	OK
MGYA00582583	-29.574	96.4073	OK
MGYA00582584	-29.574	96.4073	OK
MGYA00582585	-33.9072	37.0422	OK
MGYA00582586	-33.9072	37.0422	OK
MGYA00582587	-33.9072	37.0422	OK
MGYA00582588	-33.9072	37.0422	OK
MGYA00582589	-25.8682	-27.5673	OK
MGYA00582590	-25.8682	-27.5673	OK
MGYA00582591	-25.8682	-27.5673	OK
MGYA00582592	-25.8682	-27.5673	OK
MGYA00582593	23.274	-22.2222	OK
MGYA00582594	23.274	-22.2222	OK
MGYA00582595	23.274	-22.2222	OK
MGYA00582596	23.274	-22.2222	OK
MGYA00582597	23.274	-22.2222	OK
MGYA00582598	23.274	-22.2222	OK
MGYA00582599	10.7585	-102.4423	OK
MGYA00582600	10.7585	-102.4423	OK
MGYA00582601	10.7585	-102.4423	OK
MGYA00582602	10.7585	-102.4423	OK
MGYA00582603	10.7585	-102.4423	OK
MGYA00582604	10.7585	-102.4423	OK
MGYA00582605	10.7585	-102.4423	OK
MGYA00582606	-3.4103	-169.4625	OK
MGYA00582607	-3.4103	-169.4625	OK
MGYA00582608	-3.4103	-169.4625	OK
MGYA00582609	-3.4103	-169.4625	OK
MGYA00582610	-3.4103	-169.4625	OK
MGYA00582611	23.274	-22.2222	OK
