row	occurrence_error	id	institutionID	datasetID	institutionCode	datasetName	basisOfRecord	occurrenceID	organismQuantity	organismQuantityType	previousIdentifications	associatedSequences	materialSampleID	eventID	eventDate	samplingProtocol	sampleSizeValue	sampleSizeUnit	country	verbatimLocality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	dateIdentified	identificationReferences	identificationRemarks	taxonID	scientificName	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	taxonRemarks
7812	Potential duplicate record	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1052	https://ror.org/01tm6cn81	GU-2022-Wallhamn-18S	GU	18S Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1052	40	DNA sequence reads	By data provider: Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Harpacticus|Harpacticus_sp.||; By ASV portal: Obazoa|Opisthokonta|Arthropoda|Crustacea|Maxillopoda|Harpacticus|||	https://www.ebi.ac.uk/ena/browser/view/ERR10920241	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671518	GU-2022-Wallhamn-18S:ARMS1_18S	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	40507	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:e8a53be7443a9c3919d5a70bc01c4e33	Harpacticus	Crustacea	Arthropoda	Maxillopoda	Harpacticus			genus	Domain = 'Eukaryota'
7818	Potential duplicate record	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1072	https://ror.org/01tm6cn81	GU-2022-Wallhamn-18S	GU	18S Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1072	2	DNA sequence reads	By data provider: Opisthokonta|Metazoa|Cnidaria|Cnidaria_X|Anthozoa|Metridium|Metridium_senile||; By ASV portal: Obazoa|Opisthokonta|Cnidaria|Cnidaria_X|Anthozoa|Metridium|senile||	https://www.ebi.ac.uk/ena/browser/view/ERR10920241	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671518	GU-2022-Wallhamn-18S:ARMS1_18S	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	40507	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:17dacae95a712e01a85d09ba455971ae	Metridium senile	Cnidaria_X	Cnidaria	Anthozoa	Metridium	senile		species	Domain = 'Eukaryota'
7822	Potential duplicate record	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1077	https://ror.org/01tm6cn81	GU-2022-Wallhamn-18S	GU	18S Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1077	38	DNA sequence reads	By data provider: Opisthokonta|Metazoa|Nemertea|Nemertea_X|Nemertea_XX||||; By ASV portal: Obazoa|Opisthokonta|Nemertea|Nemertea_X|Nemertea_XX||||	https://www.ebi.ac.uk/ena/browser/view/ERR10920241	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671518	GU-2022-Wallhamn-18S:ARMS1_18S	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	40507	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:41455942781d90793b6584c7795d8a16	Nemertea_XX	Nemertea_X	Nemertea	Nemertea_XX				family	Domain = 'Eukaryota'
7825	Potential duplicate record	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1093	https://ror.org/01tm6cn81	GU-2022-Wallhamn-18S	GU	18S Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1093	2	DNA sequence reads	By data provider: Stramenopiles|Pseudofungi|Oomycota|Oomycota_X|||||; By ASV portal: TSAR|Stramenopiles|Peronosporomycetes|Peronosporomycetes_X|||||	https://www.ebi.ac.uk/ena/browser/view/ERR10920241	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671518	GU-2022-Wallhamn-18S:ARMS1_18S	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	40507	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:c6ca6e6df60d51894fd438c692fb0324	Peronosporomycetes_X	Peronosporomycetes_X	Peronosporomycetes					order	Domain = 'Eukaryota'
7826	Potential duplicate record	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1094	https://ror.org/01tm6cn81	GU-2022-Wallhamn-18S	GU	18S Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1094	5	DNA sequence reads	By data provider: Opisthokonta|Metazoa|Urochordata|Urochordata_X|Ascidiacea|Ciona|Ciona_intestinalis||; By ASV portal: Obazoa|Opisthokonta|Urochordata|Urochordata_X|Ascidiacea|Ciona|intestinalis||	https://www.ebi.ac.uk/ena/browser/view/ERR10920241	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671518	GU-2022-Wallhamn-18S:ARMS1_18S	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	40507	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:adcc12c64135fbbdf2070974c3a9255e	Ciona intestinalis	Urochordata_X	Urochordata	Ascidiacea	Ciona	intestinalis		species	Domain = 'Eukaryota'
7829	Potential duplicate record	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1112	https://ror.org/01tm6cn81	GU-2022-Wallhamn-18S	GU	18S Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1112	20	DNA sequence reads	By data provider: Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda||||; By ASV portal: Obazoa|Opisthokonta|Arthropoda|Crustacea|Maxillopoda||||	https://www.ebi.ac.uk/ena/browser/view/ERR10920241	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671518	GU-2022-Wallhamn-18S:ARMS1_18S	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	40507	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:af34235b570f10a4f5806dfdd71be2f6	Maxillopoda	Crustacea	Arthropoda	Maxillopoda				family	Domain = 'Eukaryota'
7832	Potential duplicate record	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_112	https://ror.org/01tm6cn81	GU-2022-Wallhamn-18S	GU	18S Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_112	128	DNA sequence reads	By data provider: Opisthokonta|Metazoa|Urochordata|Urochordata_X|Ascidiacea|Ciona|Ciona_intestinalis||; By ASV portal: Obazoa|Opisthokonta|Urochordata|Urochordata_X|Ascidiacea|Ciona|intestinalis||	https://www.ebi.ac.uk/ena/browser/view/ERR10920241	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671518	GU-2022-Wallhamn-18S:ARMS1_18S	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	40507	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:52e50af7d745c1b4c054d857d71dd413	Ciona intestinalis	Urochordata_X	Urochordata	Ascidiacea	Ciona	intestinalis		species	Domain = 'Eukaryota'
7840	Potential duplicate record	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1205	https://ror.org/01tm6cn81	GU-2022-Wallhamn-18S	GU	18S Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1205	1	DNA sequence reads	By data provider: Opisthokonta|Metazoa|Urochordata|Urochordata_X|Ascidiacea|Ciona|Ciona_intestinalis||; By ASV portal: Obazoa|Opisthokonta|Urochordata|Urochordata_X|Ascidiacea|Ciona|intestinalis||	https://www.ebi.ac.uk/ena/browser/view/ERR10920241	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671518	GU-2022-Wallhamn-18S:ARMS1_18S	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	40507	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:8e9fc28e034a3d8fc610ace2474bc687	Ciona intestinalis	Urochordata_X	Urochordata	Ascidiacea	Ciona	intestinalis		species	Domain = 'Eukaryota'
7843	Potential duplicate record	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_121	https://ror.org/01tm6cn81	GU-2022-Wallhamn-18S	GU	18S Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_121	218	DNA sequence reads	By data provider: Opisthokonta|Metazoa|Urochordata|Urochordata_X|Ascidiacea|Ciona|Ciona_intestinalis||; By ASV portal: Obazoa|Opisthokonta|Urochordata|Urochordata_X|Ascidiacea|Ciona|intestinalis||	https://www.ebi.ac.uk/ena/browser/view/ERR10920241	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671518	GU-2022-Wallhamn-18S:ARMS1_18S	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	40507	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:b9c615dd8d42b5eeb6c852b0e8cb5f32	Ciona intestinalis	Urochordata_X	Urochordata	Ascidiacea	Ciona	intestinalis		species	Domain = 'Eukaryota'
7844	Potential duplicate record	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1220	https://ror.org/01tm6cn81	GU-2022-Wallhamn-18S	GU	18S Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-18S:ARMS1_18S:Wallhamn_ASV_1220	24	DNA sequence reads	By data provider: Opisthokonta|Metazoa|Cnidaria|Cnidaria_X|Hydrozoa|Octophialucium|Octophialucium_indicum||; By ASV portal: Obazoa|Opisthokonta|Cnidaria|Cnidaria_X|Hydrozoa||||	https://www.ebi.ac.uk/ena/browser/view/ERR10920241	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671518	GU-2022-Wallhamn-18S:ARMS1_18S	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	40507	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:6e641996a6c282500abae32fca87b308	Hydrozoa	Cnidaria_X	Cnidaria	Hydrozoa				family	Domain = 'Eukaryota'
