row	occurrence_error	id	institutionID	datasetID	institutionCode	datasetName	basisOfRecord	occurrenceID	organismQuantity	organismQuantityType	previousIdentifications	associatedSequences	materialSampleID	eventID	eventDate	samplingProtocol	sampleSizeValue	sampleSizeUnit	country	verbatimLocality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	dateIdentified	identificationReferences	identificationRemarks	taxonID	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank
559	Potential duplicate record	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_108	https://ror.org/01tm6cn81	GU-2022-Wallhamn-COI	GU	COI Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_108	625	DNA sequence reads	By data provider: |Annelida|Polychaeta|Phyllodocida|Nereididae|Alitta|cf.succinea||; By ASV portal: Animalia|Annelida|Polychaeta|Phyllodocida|Nereididae|Alitta|succinea||BOLD:AAL7714	https://www.ebi.ac.uk/ena/browser/view/ERR10920220	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671497	GU-2022-Wallhamn-COI:ARMS1_COI	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	4270	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2025-02-24	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.12.0 (https://nf-co.re/ampliseq) VSEARCH:sintax annotation against COIDB 221216 (https://doi.org/10.17044/scilifelab.20514192.v2); confidence at lowest specified (ASV portal) taxon: 1	ASV:c1b4116b371335a87e973512ce4d8dfe	BOLD:AAL7714	Animalia	Annelida	Phyllodocida	Polychaeta	Nereididae	Alitta	succinea		unranked
560	Potential duplicate record	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_1107	https://ror.org/01tm6cn81	GU-2022-Wallhamn-COI	GU	COI Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_1107	8	DNA sequence reads	By data provider: |Ochrophyta|Phaeophyceae|Ectocarpales|Acinetosporaceae|Pylaiella|washingtoniensis||; By ASV portal: Unassigned||||||||	https://www.ebi.ac.uk/ena/browser/view/ERR10920220	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671497	GU-2022-Wallhamn-COI:ARMS1_COI	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	4270	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2025-02-24	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.12.0 (https://nf-co.re/ampliseq) VSEARCH:sintax annotation against COIDB 221216 (https://doi.org/10.17044/scilifelab.20514192.v2); confidence at lowest specified (ASV portal) taxon: 0	ASV:99e97d0cea70db825e1a45e516758bbc	Unassigned	Unassigned								kingdom
561	Potential duplicate record	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_115	https://ror.org/01tm6cn81	GU-2022-Wallhamn-COI	GU	COI Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_115	469	DNA sequence reads	By data provider: |Nemertea|Hoplonemertea|Monostilifera|Emplectonematidae|Emplectonema|gracile||; By ASV portal: Animalia|Nemertea|Hoplonemertea|Monostilifera|Emplectonematidae|Emplectonema|gracile||BOLD:AAF0221	https://www.ebi.ac.uk/ena/browser/view/ERR10920220	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671497	GU-2022-Wallhamn-COI:ARMS1_COI	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	4270	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2025-02-24	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.12.0 (https://nf-co.re/ampliseq) VSEARCH:sintax annotation against COIDB 221216 (https://doi.org/10.17044/scilifelab.20514192.v2); confidence at lowest specified (ASV portal) taxon: 1	ASV:9ea0f3e61eba000cbe6339110f435679	BOLD:AAF0221	Animalia	Nemertea	Monostilifera	Hoplonemertea	Emplectonematidae	Emplectonema	gracile		unranked
565	Potential duplicate record	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_126	https://ror.org/01tm6cn81	GU-2022-Wallhamn-COI	GU	COI Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_126	379	DNA sequence reads	By data provider: |Nemertea|Hoplonemertea|Monostilifera|Emplectonematidae|Emplectonema|gracile||; By ASV portal: Animalia|Nemertea|Hoplonemertea|Monostilifera|Emplectonematidae|Emplectonema|gracile||BOLD:AAF0221	https://www.ebi.ac.uk/ena/browser/view/ERR10920220	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671497	GU-2022-Wallhamn-COI:ARMS1_COI	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	4270	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2025-02-24	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.12.0 (https://nf-co.re/ampliseq) VSEARCH:sintax annotation against COIDB 221216 (https://doi.org/10.17044/scilifelab.20514192.v2); confidence at lowest specified (ASV portal) taxon: 1	ASV:60546806aa6f9e25521286b8790f0168	BOLD:AAF0221	Animalia	Nemertea	Monostilifera	Hoplonemertea	Emplectonematidae	Emplectonema	gracile		unranked
568	Potential duplicate record	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_1344	https://ror.org/01tm6cn81	GU-2022-Wallhamn-COI	GU	COI Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_1344	4	DNA sequence reads	By data provider: |Ochrophyta|Phaeophyceae|Sphacelariales|Sphacelariaceae|Sphacelaria|sp.||; By ASV portal: Unassigned||||||||	https://www.ebi.ac.uk/ena/browser/view/ERR10920220	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671497	GU-2022-Wallhamn-COI:ARMS1_COI	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	4270	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2025-02-24	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.12.0 (https://nf-co.re/ampliseq) VSEARCH:sintax annotation against COIDB 221216 (https://doi.org/10.17044/scilifelab.20514192.v2); confidence at lowest specified (ASV portal) taxon: 0	ASV:f4a789a4a781a4171b21170fceb1204c	Unassigned	Unassigned								kingdom
569	Potential duplicate record	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_169	https://ror.org/01tm6cn81	GU-2022-Wallhamn-COI	GU	COI Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_169	395	DNA sequence reads	By data provider: |Annelida|Polychaeta|Phyllodocida|Nereididae|Alitta|cf.succinea||; By ASV portal: Animalia|Annelida|Polychaeta|Phyllodocida|Nereididae|Alitta|succinea||BOLD:AAL7714	https://www.ebi.ac.uk/ena/browser/view/ERR10920220	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671497	GU-2022-Wallhamn-COI:ARMS1_COI	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	4270	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2025-02-24	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.12.0 (https://nf-co.re/ampliseq) VSEARCH:sintax annotation against COIDB 221216 (https://doi.org/10.17044/scilifelab.20514192.v2); confidence at lowest specified (ASV portal) taxon: 1	ASV:1ff2e17cf181e0b7ee5b1b714a4230c8	BOLD:AAL7714	Animalia	Annelida	Phyllodocida	Polychaeta	Nereididae	Alitta	succinea		unranked
570	Potential duplicate record	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_170	https://ror.org/01tm6cn81	GU-2022-Wallhamn-COI	GU	COI Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_170	392	DNA sequence reads	By data provider: |Nemertea|Hoplonemertea|Monostilifera|Emplectonematidae|Emplectonema|gracile||; By ASV portal: Animalia|Nemertea|Hoplonemertea|Monostilifera|Emplectonematidae|Emplectonema|gracile||BOLD:AAF0221	https://www.ebi.ac.uk/ena/browser/view/ERR10920220	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671497	GU-2022-Wallhamn-COI:ARMS1_COI	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	4270	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2025-02-24	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.12.0 (https://nf-co.re/ampliseq) VSEARCH:sintax annotation against COIDB 221216 (https://doi.org/10.17044/scilifelab.20514192.v2); confidence at lowest specified (ASV portal) taxon: 1	ASV:4cb04dbf9a437f8df639887811c473fb	BOLD:AAF0221	Animalia	Nemertea	Monostilifera	Hoplonemertea	Emplectonematidae	Emplectonema	gracile		unranked
571	Potential duplicate record	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_172	https://ror.org/01tm6cn81	GU-2022-Wallhamn-COI	GU	COI Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_172	382	DNA sequence reads	By data provider: |Nemertea|Hoplonemertea|Monostilifera|Emplectonematidae|Emplectonema|gracile||; By ASV portal: Animalia|Nemertea|Hoplonemertea|Monostilifera|Emplectonematidae|Emplectonema|gracile||BOLD:AAF0221	https://www.ebi.ac.uk/ena/browser/view/ERR10920220	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671497	GU-2022-Wallhamn-COI:ARMS1_COI	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	4270	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2025-02-24	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.12.0 (https://nf-co.re/ampliseq) VSEARCH:sintax annotation against COIDB 221216 (https://doi.org/10.17044/scilifelab.20514192.v2); confidence at lowest specified (ASV portal) taxon: 1	ASV:1c1da750ae80c20b5f6c9a26b96816ca	BOLD:AAF0221	Animalia	Nemertea	Monostilifera	Hoplonemertea	Emplectonematidae	Emplectonema	gracile		unranked
573	Potential duplicate record	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_177	https://ror.org/01tm6cn81	GU-2022-Wallhamn-COI	GU	COI Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_177	356	DNA sequence reads	By data provider: |Nemertea|Hoplonemertea|Monostilifera|Emplectonematidae|Emplectonema|gracile||; By ASV portal: Animalia|Nemertea|Hoplonemertea|Monostilifera|Emplectonematidae|Emplectonema|gracile||BOLD:AAF0221	https://www.ebi.ac.uk/ena/browser/view/ERR10920220	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671497	GU-2022-Wallhamn-COI:ARMS1_COI	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	4270	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2025-02-24	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.12.0 (https://nf-co.re/ampliseq) VSEARCH:sintax annotation against COIDB 221216 (https://doi.org/10.17044/scilifelab.20514192.v2); confidence at lowest specified (ASV portal) taxon: 1	ASV:bb41248bcbf584c5dd73a6fbbb13a5a9	BOLD:AAF0221	Animalia	Nemertea	Monostilifera	Hoplonemertea	Emplectonematidae	Emplectonema	gracile		unranked
575	Potential duplicate record	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_183	https://ror.org/01tm6cn81	GU-2022-Wallhamn-COI	GU	COI Metabarcoding Genetic Observations of Marine Species in the Port of Wallhamn, Sweden (2022)	MaterialSample	GU-2022-Wallhamn-COI:ARMS1_COI:Wallhamn_COI_ASV_183	255	DNA sequence reads	By data provider: |Annelida|Polychaeta|Phyllodocida|Nereididae|Alitta|cf.succinea||; By ASV portal: Animalia|Annelida|Polychaeta|Phyllodocida|Nereididae|Alitta|succinea||BOLD:AAL7714	https://www.ebi.ac.uk/ena/browser/view/ERR10920220	https://www.ebi.ac.uk/ena/browser/view/SAMEA112671497	GU-2022-Wallhamn-COI:ARMS1_COI	2022-09-06	https://doi.org/10.3389/fmars.2020.572680	4270	DNA sequence reads	Sweden	Wallhamn	3	3	58.0108693	11.6971032	EPSG:4326	2025-02-24	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.12.0 (https://nf-co.re/ampliseq) VSEARCH:sintax annotation against COIDB 221216 (https://doi.org/10.17044/scilifelab.20514192.v2); confidence at lowest specified (ASV portal) taxon: 1	ASV:9a9a50c1dc999052177f8076591f7b76	BOLD:AAL7714	Animalia	Annelida	Phyllodocida	Polychaeta	Nereididae	Alitta	succinea		unranked
