row	occurrence_error	id	institutionID	datasetID	institutionCode	datasetName	basisOfRecord	occurrenceID	organismQuantity	organismQuantityType	previousIdentifications	associatedSequences	materialSampleID	eventID	eventDate	samplingProtocol	sampleSizeValue	sampleSizeUnit	verbatimLocality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	dateIdentified	identificationReferences	identificationRemarks	taxonID	scientificName	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	taxonRemarks
509	Potential duplicate record	KTH-2013-Baltic-18S:18S_10:05d673d29b6201ac4c95e21fab4fc0cc	https://ror.org/026vcq606	KTH-2013-Baltic-18S	KTH	18S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-18S:18S_10:05d673d29b6201ac4c95e21fab4fc0cc	6	DNA sequence reads	By data provider: Opisthokonta||||||||; By ASV portal: Obazoa|Opisthokonta|||||||	https://www.ebi.ac.uk/ena/browser/view/ERR1202046	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724543	KTH-2013-Baltic-18S:18S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	54503	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 0.56	ASV:05d673d29b6201ac4c95e21fab4fc0cc	Opisthokonta							phylum	Domain = 'Eukaryota'
389	Potential duplicate record	KTH-2013-Baltic-18S:18S_10:0bb2efbd6dcb8d4c60cfc146d9c72b64	https://ror.org/026vcq606	KTH-2013-Baltic-18S	KTH	18S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-18S:18S_10:0bb2efbd6dcb8d4c60cfc146d9c72b64	107	DNA sequence reads	By data provider: Hacrobia|Katablepharidophyta|Katablepharidaceae|Katablepharidales|Katablepharidales_X|Katablepharidales_XX|Katablepharidales_XX_sp.||; By ASV portal: Cryptista|Kathablepharidacea|Kathablepharidea|Kathablepharidida|Kathablepharidida_X|Kathablepharidida_XX|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202046	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724543	KTH-2013-Baltic-18S:18S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	54503	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:0bb2efbd6dcb8d4c60cfc146d9c72b64	Kathablepharidida_XX	Kathablepharidida	Kathablepharidea	Kathablepharidida_X	Kathablepharidida_XX			genus	Domain = 'Eukaryota'
491	Potential duplicate record	KTH-2013-Baltic-18S:18S_10:0fb87e157287012204d1d14a865ad7db	https://ror.org/026vcq606	KTH-2013-Baltic-18S	KTH	18S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-18S:18S_10:0fb87e157287012204d1d14a865ad7db	9	DNA sequence reads	By data provider: Rhizaria|Cercozoa|Filosa-Imbricatea|Filosa-Imbricatea_X|Novel-clade-2|Novel-clade-2_X|||; By ASV portal: TSAR|Rhizaria|Filosa-Imbricatea|Filosa-Imbricatea_X|Novel-clade-2|Novel-clade-2_X|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202046	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724543	KTH-2013-Baltic-18S:18S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	54503	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:0fb87e157287012204d1d14a865ad7db	Novel-clade-2_X	Filosa-Imbricatea_X	Filosa-Imbricatea	Novel-clade-2	Novel-clade-2_X			genus	Domain = 'Eukaryota'
381	Potential duplicate record	KTH-2013-Baltic-18S:18S_10:12514d6670750c4694e597453a06351a	https://ror.org/026vcq606	KTH-2013-Baltic-18S	KTH	18S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-18S:18S_10:12514d6670750c4694e597453a06351a	33	DNA sequence reads	By data provider: Rhizaria|Cercozoa|Novel-clade-10-12|Novel-clade-10|Novel-clade-10_X|Novel-clade-10_XX|Novel-clade-10_XX_sp.||; By ASV portal: TSAR|Rhizaria|Novel-clade-10-12|Novel-clade-10|Novel-clade-10_X|Novel-clade-10_XX|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202046	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724543	KTH-2013-Baltic-18S:18S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	54503	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:12514d6670750c4694e597453a06351a	Novel-clade-10_XX	Novel-clade-10	Novel-clade-10-12	Novel-clade-10_X	Novel-clade-10_XX			genus	Domain = 'Eukaryota'
407	Potential duplicate record	KTH-2013-Baltic-18S:18S_10:140930f8ef7a867b0211d36762d4b2ce	https://ror.org/026vcq606	KTH-2013-Baltic-18S	KTH	18S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-18S:18S_10:140930f8ef7a867b0211d36762d4b2ce	44	DNA sequence reads	By data provider: Stramenopiles|Sagenista|Labyrinthulomycetes|Thraustochytrida|Thraustochytriaceae|Thraustochytriaceae_LAB18|||; By ASV portal: TSAR|Stramenopiles|Sagenista|Labyrinthulomycetes|Thraustochytriaceae|Thraustochytriaceae_LAB18|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202046	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724543	KTH-2013-Baltic-18S:18S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	54503	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:140930f8ef7a867b0211d36762d4b2ce	Thraustochytriaceae_LAB18	Labyrinthulomycetes	Sagenista	Thraustochytriaceae	Thraustochytriaceae_LAB18			genus	Domain = 'Eukaryota'
385	Potential duplicate record	KTH-2013-Baltic-18S:18S_10:19261bb10a545537412eb1d3bfd68e93	https://ror.org/026vcq606	KTH-2013-Baltic-18S	KTH	18S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-18S:18S_10:19261bb10a545537412eb1d3bfd68e93	54	DNA sequence reads	By data provider: Stramenopiles|Sagenista|Labyrinthulomycetes|Thraustochytrida|Thraustochytriaceae|Thraustochytriaceae_LAB18|||; By ASV portal: TSAR|Stramenopiles|Sagenista|Labyrinthulomycetes|Thraustochytriaceae|Thraustochytriaceae_LAB18|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202046	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724543	KTH-2013-Baltic-18S:18S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	54503	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:19261bb10a545537412eb1d3bfd68e93	Thraustochytriaceae_LAB18	Labyrinthulomycetes	Sagenista	Thraustochytriaceae	Thraustochytriaceae_LAB18			genus	Domain = 'Eukaryota'
359	Potential duplicate record	KTH-2013-Baltic-18S:18S_10:199060a2fd83642df26017bd35fae39b	https://ror.org/026vcq606	KTH-2013-Baltic-18S	KTH	18S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-18S:18S_10:199060a2fd83642df26017bd35fae39b	117	DNA sequence reads	By data provider: Alveolata|Ciliophora|CONThreeP|CONThreeP_X|CONThreeP_XX|Askenasia|||; By ASV portal: TSAR|Alveolata|CONThreeP|CONThreeP_X|CONThreeP_XX|Askenasia|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202046	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724543	KTH-2013-Baltic-18S:18S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	54503	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 0.71	ASV:199060a2fd83642df26017bd35fae39b	Askenasia	CONThreeP_X	CONThreeP	CONThreeP_XX	Askenasia			genus	Domain = 'Eukaryota'
426	Potential duplicate record	KTH-2013-Baltic-18S:18S_10:1b94e185f1d1bdd911ab0539fb605cc7	https://ror.org/026vcq606	KTH-2013-Baltic-18S	KTH	18S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-18S:18S_10:1b94e185f1d1bdd911ab0539fb605cc7	40	DNA sequence reads	By data provider: Opisthokonta|Choanoflagellida|Choanoflagellatea|Craspedida|Monosigidae_Group_M|Monosigidae_Group_M_X|||; By ASV portal: Obazoa|Opisthokonta|Choanoflagellatea|Craspedida|Monosigidae_Group_M|Monosigidae_Group_M_X|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202046	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724543	KTH-2013-Baltic-18S:18S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	54503	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:1b94e185f1d1bdd911ab0539fb605cc7	Monosigidae_Group_M_X	Craspedida	Choanoflagellatea	Monosigidae_Group_M	Monosigidae_Group_M_X			genus	Domain = 'Eukaryota'
443	Potential duplicate record	KTH-2013-Baltic-18S:18S_10:1e85ecd1456db2498010ac82a5ffd521	https://ror.org/026vcq606	KTH-2013-Baltic-18S	KTH	18S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-18S:18S_10:1e85ecd1456db2498010ac82a5ffd521	155	DNA sequence reads	By data provider: Alveolata|Ciliophora|CONThreeP|CONThreeP_X|CONThreeP_XX|Askenasia|||; By ASV portal: TSAR|Alveolata|CONThreeP|CONThreeP_X|CONThreeP_XX|Askenasia|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202046	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724543	KTH-2013-Baltic-18S:18S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	54503	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 0.71	ASV:1e85ecd1456db2498010ac82a5ffd521	Askenasia	CONThreeP_X	CONThreeP	CONThreeP_XX	Askenasia			genus	Domain = 'Eukaryota'
442	Potential duplicate record	KTH-2013-Baltic-18S:18S_10:1f8bb538035408bc5844f7c5fbb41211	https://ror.org/026vcq606	KTH-2013-Baltic-18S	KTH	18S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-18S:18S_10:1f8bb538035408bc5844f7c5fbb41211	19	DNA sequence reads	By data provider: Alveolata|Ciliophora|Spirotrichea|Choreotrichida|Strobilidiidae_C|Strobilidiidae_C_X|Strobilidiidae_C_X_sp.||; By ASV portal: TSAR|Alveolata|Spirotrichea|Choreotrichida|Strobilidiidae|Strobilidiidae_X|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202046	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724543	KTH-2013-Baltic-18S:18S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	54503	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2024-02-22	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.8.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against PR2 v5.0.0 (https://github.com/pr2database/pr2database/releases/tag/v5.0.0); confidence at lowest specified (ASV portal) taxon: 1	ASV:1f8bb538035408bc5844f7c5fbb41211	Strobilidiidae_X	Choreotrichida	Spirotrichea	Strobilidiidae	Strobilidiidae_X			genus	Domain = 'Eukaryota'
