scientificName	scientificNameID	count	scientificNameMatch	url	status	scientificNameaccepted	rank	kingdom	class	family	isMarine	isBrackish	isFreshwater	isTerrestrial	isExtinct
03196G20 X sp.		1													
AND16-lineage X sp.		1													
ATCC50593-lineage X sp.		4													
Abeoformidae		75													
Abeoformidae Group MAIP 1 X sp.		152													
Abeoformidae Group MAIP 2 X sp.		51													
Abra alba	urn:lsid:marinespecies.org:taxname:141433	63	Abra alba	https://marinespecies.org/aphia.php?p=taxdetails&id=141433	accepted	Abra alba	Species	Animalia	Bivalvia	Semelidae	1	0	0	0	0
Absidia	urn:lsid:marinespecies.org:taxname:100255	1	Absidia	https://marinespecies.org/aphia.php?p=taxdetails&id=100255	accepted	Absidia	Genus	Fungi	Mucoromycotina incertae sedis	Cunninghamellaceae	1				
Absidia glauca		2													
Acanthamoeba	urn:lsid:marinespecies.org:taxname:120531	149	Acanthamoeba	https://marinespecies.org/aphia.php?p=taxdetails&id=120531	accepted	Acanthamoeba	Genus	Protozoa	Discosea	Acanthamoebidae	1	1	1	1	
Acanthamoeba culbertsoni		13													
Acanthamoeba hatchetti	urn:lsid:marinespecies.org:taxname:1503937	6	Acanthamoeba hatchetti	https://marinespecies.org/aphia.php?p=taxdetails&id=1503937	accepted	Acanthamoeba hatchetti	Species	Protozoa	Discosea	Acanthamoebidae				1	
Acanthamoeba jacobsi		2													
Acanthamoeba lenticulata		8													
Acanthamoeba polyphaga	urn:lsid:marinespecies.org:taxname:163677	3	Acanthamoeba polyphaga	https://marinespecies.org/aphia.php?p=taxdetails&id=163677	accepted	Acanthamoeba polyphaga	Species	Protozoa	Discosea	Acanthamoebidae	1	1	1		
Acanthamoebidae	urn:lsid:marinespecies.org:taxname:1330	11	Acanthamoebidae	https://marinespecies.org/aphia.php?p=taxdetails&id=1330	accepted	Acanthamoebidae	Family	Protozoa	Discosea	Acanthamoebidae	1	1	1	1	
Acantharea	urn:lsid:marinespecies.org:taxname:235747	45	Acantharea	https://marinespecies.org/aphia.php?p=taxdetails&id=235747	unaccepted	Acantharia	Class	Protozoa	Acantharea						
Acantharea 1 XX sp.		15													
Acantharea 2b X sp.		2													
Acantharea 3a X sp.		5													
Acantharea 3b X sp.		45													
Acantharea 4		17													
Acantharea 4d X sp.		16													
Acantharea E		19													
Acantharea F		30													
Acanthaster planci	urn:lsid:marinespecies.org:taxname:213289	6	Acanthaster planci	https://marinespecies.org/aphia.php?p=taxdetails&id=213289	accepted	Acanthaster planci	Species	Animalia	Asteroidea	Acanthasteridae	1	0	0	0	0
Acanthochiasma sp.		2													
Acanthocolla cruciata		33													
Acanthocybium solandri	urn:lsid:marinespecies.org:taxname:127014	5	Acanthocybium solandri	https://marinespecies.org/aphia.php?p=taxdetails&id=127014	accepted	Acanthocybium solandri	Species	Animalia	Teleostei	Scombridae	1	0	0	0	
Acanthoecida	urn:lsid:marinespecies.org:taxname:580117	404	Acanthoecida	https://marinespecies.org/aphia.php?p=taxdetails&id=580117	accepted	Acanthoecida	Order	Protozoa	Choanoflagellatea		1				
Acanthoecidae Group G		8													
Acanthoecidae Group G X sp.		35													
Acantholus ambigus		2													
Acanthometra pellucida	urn:lsid:marinespecies.org:taxname:235750	59	Acanthometra pellucida	https://marinespecies.org/aphia.php?p=taxdetails&id=235750	accepted	Acanthometra pellucida	Species	Chromista	Acantharia	Acanthometridae	1	0	0	0	
Acanthometra sp.		27													
Acanthurus nigricauda	urn:lsid:marinespecies.org:taxname:219626	1	Acanthurus nigricauda	https://marinespecies.org/aphia.php?p=taxdetails&id=219626	accepted	Acanthurus nigricauda	Species	Animalia	Teleostei	Acanthuridae	1	1	0	0	
Acanthurus triostegus	urn:lsid:marinespecies.org:taxname:219630	3	Acanthurus triostegus	https://marinespecies.org/aphia.php?p=taxdetails&id=219630	accepted	Acanthurus triostegus	Species	Animalia	Teleostei	Acanthuridae	1	0	0	0	
Acanthurus xanthopterus	urn:lsid:marinespecies.org:taxname:219634	7	Acanthurus xanthopterus	https://marinespecies.org/aphia.php?p=taxdetails&id=219634	accepted	Acanthurus xanthopterus	Species	Animalia	Teleostei	Acanthuridae	1	0	0	0	
Acartia amboinensis	urn:lsid:marinespecies.org:taxname:220933	121	Acartia amboinensis	https://marinespecies.org/aphia.php?p=taxdetails&id=220933	unaccepted	Acartia (Odontacartia) amboinensis	Species	Animalia	Copepoda	Acartiidae	1	0	0	0	
Acartia danae	urn:lsid:marinespecies.org:taxname:104252	2	Acartia danae	https://marinespecies.org/aphia.php?p=taxdetails&id=104252	alternative representation	Acartia (Acartia) danae	Species	Animalia	Copepoda	Acartiidae	1	0	0	0	
Acartia nadiensis		19													
Acartia negligens	urn:lsid:marinespecies.org:taxname:104259	48	Acartia negligens	https://marinespecies.org/aphia.php?p=taxdetails&id=104259	alternative representation	Acartia (Acartia) negligens	Species	Animalia	Copepoda	Acartiidae	1	0	0	0	
Acartia pacifica	urn:lsid:marinespecies.org:taxname:348516	36	Acartia pacifica	https://marinespecies.org/aphia.php?p=taxdetails&id=348516	alternative representation	Acartia (Odontacartia) pacifica	Species	Animalia	Copepoda	Acartiidae	1	0	0	0	
Acaulopage dichotoma		2													
Achelia	urn:lsid:marinespecies.org:taxname:134568	3	Achelia	https://marinespecies.org/aphia.php?p=taxdetails&id=134568	accepted	Achelia	Genus	Animalia	Pycnogonida	Ammotheidae	1	0	0	0	0
Acineria incurvata	urn:lsid:marinespecies.org:taxname:426633	26	Acineria incurvata	https://marinespecies.org/aphia.php?p=taxdetails&id=426633	accepted	Acineria incurvata	Species	Chromista	Litostomatea	Litonotidae	1	0	0	0	
Acineta	urn:lsid:marinespecies.org:taxname:172365	11	Acineta	https://marinespecies.org/aphia.php?p=taxdetails&id=172365	accepted	Acineta	Genus	Chromista	Phyllopharyngea	Acinetidae	1	0	0	0	
Acineta 1 sp.		34													
Acineta tuberosa	urn:lsid:marinespecies.org:taxname:172366	16	Acineta tuberosa	https://marinespecies.org/aphia.php?p=taxdetails&id=172366	accepted	Acineta tuberosa	Species	Chromista	Phyllopharyngea	Acinetidae	1	0	0	0	
Acinetidae 1		6													
Acinetidae 1 X sp.		3													
Acoela	urn:lsid:marinespecies.org:taxname:2847	15	Acoela	https://marinespecies.org/aphia.php?p=taxdetails&id=2847	accepted	Acoela	Order	Animalia			1	1	1		
