IDlink	measurementType	measurementValue	measurementUnit	message	count
occurrenceMoF	sample_DNA_concentration		ng/mL	measurementTypeID is missing	99159
occurrenceMoF	sampled_volume		mL	measurementTypeID is missing	99159
occurrenceMoF	water_depth		m	measurementTypeID is missing	98639
occurrenceMoF	cloud_observation		code	measurementTypeID is missing	73949
occurrenceMoF	ice_observation		code	measurementTypeID is missing	73949
occurrenceMoF	sampled_depth		m	measurementTypeID is missing	73949
occurrenceMoF	weather_observation		code	measurementTypeID is missing	73949
occurrenceMoF	wind_speed		m/s	measurementTypeID is missing	73949
occurrenceMoF	salinity_CTD_5m		psu	measurementTypeID is missing	73677
occurrenceMoF	salinity_average		psu	measurementTypeID is missing	73677
occurrenceMoF	temperature_water_CTD_5m		?C	measurementTypeID is missing	73677
occurrenceMoF	wind_direction		code	measurementTypeID is missing	73651
occurrenceMoF	salinity_CTD_0-1m		psu	measurementTypeID is missing	73195
occurrenceMoF	temperature_water_CTD_0-1m		?C	measurementTypeID is missing	73195
occurrenceMoF	total_phosphorus_5m		mol/L	measurementTypeID is missing	71949
occurrenceMoF	total_nitrogen_0-1m		mol/L	measurementTypeID is missing	71763
occurrenceMoF	total_nitrogen_5m		mol/L	measurementTypeID is missing	71702
occurrenceMoF	salinity_CTD_10m		psu	measurementTypeID is missing	71542
occurrenceMoF	temperature_water_CTD_10m		?C	measurementTypeID is missing	71542
occurrenceMoF	total_phosphorus_0-1m		mol/L	measurementTypeID is missing	71474
occurrenceMoF	wave_observation		code	measurementTypeID is missing	70585
occurrenceMoF	phosphate_PO4_5m		mol/L	measurementTypeID is missing	70241
occurrenceMoF	silicate_SiO3_5m		mol/L	measurementTypeID is missing	70241
occurrenceMoF	ammonium_NH4_5m		mol/L	measurementTypeID is missing	70024
occurrenceMoF	ammonium_NH4_0-1m		mol/L	measurementTypeID is missing	69723
occurrenceMoF	silicate_SiO3_0-1m		mol/L	measurementTypeID is missing	69723
occurrenceMoF	total_phosphorus_10m		mol/L	measurementTypeID is missing	69688
occurrenceMoF	total_nitrogen_10m		mol/L	measurementTypeID is missing	69457
occurrenceMoF	phosphate_PO4_0-1m		mol/L	measurementTypeID is missing	69434
occurrenceMoF	phosphate_PO4_10m		mol/L	measurementTypeID is missing	68106
occurrenceMoF	silicate_SiO3_10m		mol/L	measurementTypeID is missing	68106
occurrenceMoF	ammonium_NH4_10m		mol/L	measurementTypeID is missing	67951
occurrenceMoF	nitrate_NO3_5m		mol/L	measurementTypeID is missing	59688
occurrenceMoF	nitrite_NO2_5m		mol/L	measurementTypeID is missing	59688
occurrenceMoF	nitrate_NO3_0-1m		mol/L	measurementTypeID is missing	59170
occurrenceMoF	nitrite_NO2_0-1m		mol/L	measurementTypeID is missing	59170
