row	occurrence_error	id	institutionID	datasetID	institutionCode	collectionCode	datasetName	basisOfRecord	occurrenceID	organismQuantity	organismQuantityType	previousIdentifications	associatedSequences	materialSampleID	eventID	eventDate	samplingProtocol	sampleSizeValue	sampleSizeUnit	verbatimLocality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	dateIdentified	identificationReferences	identificationRemarks	taxonID	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	taxonRemarks
401	Potential duplicate record	KTH-2013-Baltic-16S:16S_10:01d5b79c3b67c66014639c3bbea5ea11	https://ror.org/026vcq606	KTH-2013-Baltic-16S	KTH	KTH-2013-Baltic-16S	16S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-16S:16S_10:01d5b79c3b67c66014639c3bbea5ea11	165	DNA sequence reads	By data provider: Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|||; By ASV portal: Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202025	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724522	KTH-2013-Baltic-16S:16S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	104096	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2023-06-28	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.5.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against SBDI-GTDB-R07-RS207-1 (https://scilifelab.figshare.com/articles/dataset/SBDI_Sativa_curated_16S_GTDB_database/14869077/4); confidence at lowest specified (ASV portal) taxon: 1	ASV:01d5b79c3b67c66014639c3bbea5ea11	Flavobacterium	Bacteria	Bacteroidota	Flavobacteriales	Bacteroidia	Flavobacteriaceae	Flavobacterium			genus	Domain = 'Bacteria'
426	Potential duplicate record	KTH-2013-Baltic-16S:16S_10:03e4c04693b3a3b83283c983f82793e5	https://ror.org/026vcq606	KTH-2013-Baltic-16S	KTH	KTH-2013-Baltic-16S	16S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-16S:16S_10:03e4c04693b3a3b83283c983f82793e5	253	DNA sequence reads	By data provider: Bacteria|Cyanobacteria|Cyanobacteriia|PCC-6307|Cyanobiaceae||||; By ASV portal: Bacteria|Cyanobacteria|Cyanobacteriia|PCC-6307|Cyanobiaceae||||	https://www.ebi.ac.uk/ena/browser/view/ERR1202025	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724522	KTH-2013-Baltic-16S:16S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	104096	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2023-06-28	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.5.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against SBDI-GTDB-R07-RS207-1 (https://scilifelab.figshare.com/articles/dataset/SBDI_Sativa_curated_16S_GTDB_database/14869077/4); confidence at lowest specified (ASV portal) taxon: 1	ASV:03e4c04693b3a3b83283c983f82793e5	Cyanobiaceae	Bacteria	Cyanobacteria	PCC-6307	Cyanobacteriia	Cyanobiaceae				family	Domain = 'Bacteria'
438	Potential duplicate record	KTH-2013-Baltic-16S:16S_10:050b3a77eb27d43f9020eabb0f38efa4	https://ror.org/026vcq606	KTH-2013-Baltic-16S	KTH	KTH-2013-Baltic-16S	16S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-16S:16S_10:050b3a77eb27d43f9020eabb0f38efa4	93	DNA sequence reads	By data provider: Bacteria|Verrucomicrobiota|Verrucomicrobiae|Methylacidiphilales|UBA3015|UBA3015|||; By ASV portal: Bacteria|Verrucomicrobiota|Verrucomicrobiae|Methylacidiphilales|UBA3015|UBA3015|sp001438005||	https://www.ebi.ac.uk/ena/browser/view/ERR1202025	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724522	KTH-2013-Baltic-16S:16S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	104096	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2023-06-28	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.5.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against SBDI-GTDB-R07-RS207-1 (https://scilifelab.figshare.com/articles/dataset/SBDI_Sativa_curated_16S_GTDB_database/14869077/4); confidence at lowest specified (ASV portal) taxon: 1	ASV:050b3a77eb27d43f9020eabb0f38efa4	UBA3015 sp001438005	Bacteria	Verrucomicrobiota	Methylacidiphilales	Verrucomicrobiae	UBA3015	UBA3015	sp001438005		species	Domain = 'Bacteria'
693	Potential duplicate record	KTH-2013-Baltic-16S:16S_10:061512fe23d1e86a4b4a935c6668610b	https://ror.org/026vcq606	KTH-2013-Baltic-16S	KTH	KTH-2013-Baltic-16S	16S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-16S:16S_10:061512fe23d1e86a4b4a935c6668610b	9	DNA sequence reads	By data provider: Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|||; By ASV portal: Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202025	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724522	KTH-2013-Baltic-16S:16S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	104096	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2023-06-28	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.5.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against SBDI-GTDB-R07-RS207-1 (https://scilifelab.figshare.com/articles/dataset/SBDI_Sativa_curated_16S_GTDB_database/14869077/4); confidence at lowest specified (ASV portal) taxon: 1	ASV:061512fe23d1e86a4b4a935c6668610b	Flavobacterium	Bacteria	Bacteroidota	Flavobacteriales	Bacteroidia	Flavobacteriaceae	Flavobacterium			genus	Domain = 'Bacteria'
451	Potential duplicate record	KTH-2013-Baltic-16S:16S_10:06a7ec0a32bb205024fa1236e3ef21ad	https://ror.org/026vcq606	KTH-2013-Baltic-16S	KTH	KTH-2013-Baltic-16S	16S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-16S:16S_10:06a7ec0a32bb205024fa1236e3ef21ad	185	DNA sequence reads	By data provider: Bacteria||||||||; By ASV portal: Bacteria||||||||	https://www.ebi.ac.uk/ena/browser/view/ERR1202025	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724522	KTH-2013-Baltic-16S:16S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	104096	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2023-06-28	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.5.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against SBDI-GTDB-R07-RS207-1 (https://scilifelab.figshare.com/articles/dataset/SBDI_Sativa_curated_16S_GTDB_database/14869077/4); confidence at lowest specified (ASV portal) taxon: 1	ASV:06a7ec0a32bb205024fa1236e3ef21ad	Bacteria	Bacteria								kingdom	Domain = 'Bacteria'
300	Potential duplicate record	KTH-2013-Baltic-16S:16S_10:0872ee96003e931447bfbda18e048d00	https://ror.org/026vcq606	KTH-2013-Baltic-16S	KTH	KTH-2013-Baltic-16S	16S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-16S:16S_10:0872ee96003e931447bfbda18e048d00	87	DNA sequence reads	By data provider: Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales|Nanopelagicaceae|Planktophila|||; By ASV portal: Bacteria|Actinobacteriota|Actinomycetia|Nanopelagicales|Nanopelagicaceae|Planktophila|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202025	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724522	KTH-2013-Baltic-16S:16S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	104096	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2023-06-28	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.5.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against SBDI-GTDB-R07-RS207-1 (https://scilifelab.figshare.com/articles/dataset/SBDI_Sativa_curated_16S_GTDB_database/14869077/4); confidence at lowest specified (ASV portal) taxon: 1	ASV:0872ee96003e931447bfbda18e048d00	Planktophila	Bacteria	Actinobacteriota	Nanopelagicales	Actinomycetia	Nanopelagicaceae	Planktophila			genus	Domain = 'Bacteria'
733	Potential duplicate record	KTH-2013-Baltic-16S:16S_10:09eff91ae08dcdcca1e7ee0ceff36f77	https://ror.org/026vcq606	KTH-2013-Baltic-16S	KTH	KTH-2013-Baltic-16S	16S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-16S:16S_10:09eff91ae08dcdcca1e7ee0ceff36f77	6	DNA sequence reads	By data provider: Unassigned||||||||; By ASV portal: Bacteria|Proteobacteria|Gammaproteobacteria|Legionellales|Legionellaceae||||	https://www.ebi.ac.uk/ena/browser/view/ERR1202025	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724522	KTH-2013-Baltic-16S:16S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	104096	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2023-06-28	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.5.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against SBDI-GTDB-R07-RS207-1 (https://scilifelab.figshare.com/articles/dataset/SBDI_Sativa_curated_16S_GTDB_database/14869077/4); confidence at lowest specified (ASV portal) taxon: 1	ASV:09eff91ae08dcdcca1e7ee0ceff36f77	Legionellaceae	Bacteria	Proteobacteria	Legionellales	Gammaproteobacteria	Legionellaceae				family	Domain = 'Bacteria'
623	Potential duplicate record	KTH-2013-Baltic-16S:16S_10:0ad82ece7dba90d7fabc1889b295a1db	https://ror.org/026vcq606	KTH-2013-Baltic-16S	KTH	KTH-2013-Baltic-16S	16S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-16S:16S_10:0ad82ece7dba90d7fabc1889b295a1db	34	DNA sequence reads	By data provider: Bacteria|Proteobacteria|Gammaproteobacteria||||||; By ASV portal: Bacteria|Proteobacteria|Gammaproteobacteria||||||	https://www.ebi.ac.uk/ena/browser/view/ERR1202025	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724522	KTH-2013-Baltic-16S:16S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	104096	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2023-06-28	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.5.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against SBDI-GTDB-R07-RS207-1 (https://scilifelab.figshare.com/articles/dataset/SBDI_Sativa_curated_16S_GTDB_database/14869077/4); confidence at lowest specified (ASV portal) taxon: 1	ASV:0ad82ece7dba90d7fabc1889b295a1db	Gammaproteobacteria	Bacteria	Proteobacteria		Gammaproteobacteria					class	Domain = 'Bacteria'
483	Potential duplicate record	KTH-2013-Baltic-16S:16S_10:1156a6d92db328e1f03dec52ece986ba	https://ror.org/026vcq606	KTH-2013-Baltic-16S	KTH	KTH-2013-Baltic-16S	16S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-16S:16S_10:1156a6d92db328e1f03dec52ece986ba	38	DNA sequence reads	By data provider: Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|||; By ASV portal: Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|||	https://www.ebi.ac.uk/ena/browser/view/ERR1202025	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724522	KTH-2013-Baltic-16S:16S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	104096	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2023-06-28	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.5.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against SBDI-GTDB-R07-RS207-1 (https://scilifelab.figshare.com/articles/dataset/SBDI_Sativa_curated_16S_GTDB_database/14869077/4); confidence at lowest specified (ASV portal) taxon: 1	ASV:1156a6d92db328e1f03dec52ece986ba	Flavobacterium	Bacteria	Bacteroidota	Flavobacteriales	Bacteroidia	Flavobacteriaceae	Flavobacterium			genus	Domain = 'Bacteria'
608	Potential duplicate record	KTH-2013-Baltic-16S:16S_10:11bf63dc5c4ab25abaa39a61999e9409	https://ror.org/026vcq606	KTH-2013-Baltic-16S	KTH	KTH-2013-Baltic-16S	16S data from: Diversity of Pico- to Mesoplankton along the 2000 km Salinity Gradient of the Baltic Sea (Hu et al. 2016)	MaterialSample	KTH-2013-Baltic-16S:16S_10:11bf63dc5c4ab25abaa39a61999e9409	10	DNA sequence reads	By data provider: Unassigned||||||||; By ASV portal: Bacteria||||||||	https://www.ebi.ac.uk/ena/browser/view/ERR1202025	https://www.ebi.ac.uk/ena/browser/view/SAMEA3724522	KTH-2013-Baltic-16S:16S_10	2013-07-15T07:44	https://doi.org/10.3389/fmicb.2016.00679. Sequence processing was not conducted as in the journal publication, but by using the https://nf-co.re/ampliseq pipeline in which the denoising (ASV reconstruction) step was conducted with DADA2.	104096	DNA sequence reads	Bothnian Bay	3	3	65.229	23.774	EPSG:4326	2023-06-28	https://docs.biodiversitydata.se/analyse-data/molecular-tools/#taxonomy-annotation	Ampliseq v2.5.0 (https://nf-co.re/ampliseq) DADA2:assignTaxonomy annotation against SBDI-GTDB-R07-RS207-1 (https://scilifelab.figshare.com/articles/dataset/SBDI_Sativa_curated_16S_GTDB_database/14869077/4); confidence at lowest specified (ASV portal) taxon: 1	ASV:11bf63dc5c4ab25abaa39a61999e9409	Bacteria	Bacteria								kingdom	Domain = 'Bacteria'
